DATE_ENREGISTREMENT;ETAT;QUANTITE;NO_LICENCE;LIB_CIVILITE;NOM_PERSONNE;PRENOM_PERSONNE;DATE_NAISSANCE_PERSONNE;LIB_NATIONALITE;SEXE_PERSONNE;CODE_STRUCTURE;NOM_STRUCTURE;NOM_ABREGE_STRUCTURE;CODE_DEPARTEMENT;NOM_DEPARTEMENT;CODE_LIGUE;NOM_LIGUE;NOM_FEDERATION;LIB_SAISON;LIB_TARIF;TARIF;LICENCE_TRANSFERT;DUPLICATA;LIB_PRODUIT_ASSUR;PRODUIT_ASSUR;LIB_PRODUIT_ABONN;PRODUIT_ABONN;CODE_PRODUIT;LIB_TYPE_LICENCE;LIB_TYPE_LICENCE_ASSOCIE;CREATION_RENOUVELLEMENT;CODE_FAMILLE;LIB_FAMILLE;NUMERO_COMMANDE;DATE_COMMANDE;DATE_REGLEMENT;ETAT_COMMANDE;DEBUT_VALIDITE_LICENCE;FIN_VALIDITE_LICENCE;DATE_SOUSCRIPTION;DATE_VALIDATION;DATE_EDITION;ETAT_EDITION;LIB_SURCLASSEMENT;CODE_CATAGE;LIB_CATAGE;LIB_ACTIVITE;ACTIVITE_PRINCIPALE;DATE_CERTIFICAT_MEDICAL_CMNCI;TYPE_CERTIFICAT_MEDICAL_CMNCI;NOM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI;NUM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI;DATE_CERTIFICAT_MEDICAL_CMNCI_COMP;TYPE_CERTIFICAT_MEDICAL_CMNCI_COMP;NOM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI_COMP;NUM_MEDECIN_CERTIFICAT_MEDICAL_CMNCI_COMP;ADRESSE_APPART_PERSONNE;ADRESSE_IMMEUBLE_PERSONNE;ADRESSE_RUE_PERSONNE;ADRESSE_LIEUDIT_PERSONNE;ADRESSE_CODE_POSTAL_PERSONNE;ADRESSE_VILLE_PERSONNE;ADRESSE_PAYS_PERSONNE;ADRESSE_CODEINSEE_PERSONNE;ADRESSE_EMAIL_PERSONNE;ADRESSE_EMAIL2_PERSONNE;ADRESSE_TEL1_PERSONNE;ADRESSE_TEL2_PERSONNE;ADRESSE_MOBILE1_PERSONNE;ADRESSE_MOBILE2_PERSONNE;ADRESSE_FAX1_PERSONNE;LONGITUDE;LATITUDE;AUTORISATION_DIFFUSION_ADRESSE;TAILLE
18/09/2021 11:54;Actif;1;827451S;M.;IRVING;GEORGE;09/20/1971;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;18/09/2021;31/08/2022;18/09/2021;18/09/2021;19/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies;;;;;;23/09/2019;Non contre ind. compétition;;;;;2 RUE DU CHEVAL-BLANC;;35130;LA GUERCHE-DE-BRETAGNE;FRANCE;35130;george_irving5114@corti.com;george_irving5114@corti.com;06 75 75 82 94;06 85 32 23 23;;;;-1.230696;47.941933;Oui;XL
18/09/2021 11:59;Actif;1;250554D;Mme;ALLEN;HOPE;05/24/1993;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;18/09/2021;31/08/2022;18/09/2021;18/09/2021;19/09/2021;Editee;Aucun;S2;Sénior 2;Arc Classique;;;;;;09/11/2018;Non contre ind. compétition;;;;;2 PLACE DE L'ÉGLISE;;35133;SAINT-SAUVEUR-DES-LANDES;FRANCE;35133;hope_allen5811@sveldo.biz;hope_allen5811@sveldo.biz;07 24 38 47 76;06 18 23 66 97;;;;-1.3136453;48.3421427;Oui;L
18/09/2021 12:17;Actif;1;489950L;Mme;VALLORY;MILEY;03/29/1956;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;18/09/2021;31/08/2022;18/09/2021;18/09/2021;19/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies,Arc Nu;;;;;;07/09/2021;Non contre ind. compétition;;;;;;9 BIS RUE DE SAINT-PÉRAN;35160;TALENSAC;FRANCE;35160;miley_vallory4438@grannar.com;;07 14 10 22 65;06 51 91 41 67;;;;-1.92915999889;48.1085014343;Oui;S
18/09/2021 12:26;Actif;1;333053E;Mme;SMITH;DARLENE;12/31/1940;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;18/09/2021;31/08/2022;18/09/2021;18/09/2021;19/09/2021;Editee;Aucun;S1;Sénior 1;Arc Classique;;;;;;02/09/2019;Non contre ind. compétition;;;;;LE BOURG;;35630;LES IFFS;FRANCE;35630;darlene_smith4304@deavo.com;darlene_smith4304@deavo.com;06 43 37 43 78;07 42 58 41 50;;;;-1.86673700809;48.2879714966;Oui;L
18/09/2021 02:02;Actif;1;404334S;M.;LINDSAY;KURT;08/18/1958;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;18/09/2021;31/08/2022;18/09/2021;18/09/2021;19/09/2021;Editee;Aucun;S2;Sénior 2;Arc Chasse;;;;;;13/08/2021;Non contre ind. compétition;;;;;22 RUE DE CHÂTEAUBRIANT;;35771;VERN-SUR-SEICHE CEDEX;FRANCE;35771;kurt_lindsay5167@yahoo.com;kurt_lindsay5167@yahoo.com;06 37 75 45 12;06 63 10 65 76;07 10 93 32 71;;;-1.65625;48.0433998108;Oui;XXL
19/09/2021 06:52;Actif;1;418375H;M.;STRONG;GABRIEL;03/29/1956;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;19/09/2021;31/08/2022;19/09/2021;19/09/2021;21/09/2021;Editee;Aucun;S1;Sénior 1;Arc Classique,Arc Nu;;;;;;18/09/2019;Non contre ind. compétition;;;;;2 RUE DES TILLEULS;2 RUE DES Ã‰COLES;35450;LANDAVRAN;FRANCE;35450;gabriel_strong1926@iatim.tech;;07 78 45 28 81;06 49 23 25 29;;;;-1.28947997093;48.1607017517;Oui;L
19/09/2021 07:07;Actif;1;248377A;Mme;REID;DARLENE;06/29/1989;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;19/09/2021;31/08/2022;19/09/2021;19/09/2021;20/09/2021;Editee;Aucun;S3;Sénior 3;Arc à Poulies,Arc Droit,Arc Libre;;;;;;07/09/2019;Non contre ind. compétition;;;;;12 RUE NATIONALE;;35190;TINTÉNIAC;FRANCE;35190;darlene_reid7821@naiker.biz;;07 37 42 93 33;06 67 52 82 91;;07 46 55 68 93;;-1.83519;48.328863;Oui;L
20/09/2021 10:09;Actif;1;615157E;Mme;GRIFFITHS;FELICITY;06/29/1989;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;38,75;Non;Non;Assurance;ASSUR;;;J;Jeune;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;20/09/2021;31/08/2022;20/09/2021;20/09/2021;21/09/2021;Editee;Aucun;J;Junior;Arc Classique;;;;;;20/09/2021;Non contre ind. compétition;;;;;29 AVENUE DU MARÉCHAL-LECLERC;;35310;MORDELLES;FRANCE;35310;felicity_griffiths9644@mafthy.com;;07 46 33 11 89;06 64 66 40 64;06 25 11 75 21;;;-1.84747600555;48.0733299255;Oui;L
20/09/2021 10:10;Actif;1;108964T;M.;ROWAN;JOSEPH;06/29/1989;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;20/09/2021;31/08/2022;20/09/2021;20/09/2021;21/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies;;;;;;04/09/2020;Non contre ind. compétition;;;;;21 RUE DE PARIS;;35120;BAGUER-PICAN;FRANCE;35120;joseph_rowan3872@naiker.biz;;06 75 94 32 56;06 34 52 89 15;07 79 15 91 45;06 18 72 67 76;;-1.69928002357;48.5530014038;Oui;XL
20/09/2021 10:13;Actif;1;930690U;Mme;ROBINSON;ANGELA;02/13/1994;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;38,75;Non;Non;Assurance;ASSUR;;;J;Jeune;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;20/09/2021;31/08/2022;20/09/2021;20/09/2021;21/09/2021;Editee;Aucun;C;Cadet;Arc à Poulies,Arc Classique;;;;;;20/09/2021;Non contre ind. compétition;;;;;MAURE-DE-BRETAGNE;;35330;VAL D'ANAST;FRANCE;35330;angela_robinson3562@ubusive.com;angela_robinson3562@ubusive.com;06 45 54 79 66;07 19 34 46 41;;;;-1.98785996437;47.8912010193;Oui;M
25/09/2021 10:23;Actif;1;156429Z;Mme;CLARKSON;VALERIE;11/28/1943;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;25/09/2021;31/08/2022;25/09/2021;25/09/2021;26/09/2021;Editee;Aucun;S3;Sénior 3;Arc à Poulies;;;;;;23/09/2021;Non contre ind. compétition;;;;;5 RUE DE LA MAIRIE;;35230;ORGÈRES;FRANCE;35230;valerie_clarkson2552@sveldo.biz;;07 83 56 57 18;07 12 64 21 68;07 53 92 26 98;;;-1.66752994061;47.9954986572;Oui;XXL
25/09/2021 10:43;Actif;1;667191B;Mme;RUST;ELLY;05/17/1951;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;25/09/2021;31/08/2022;25/09/2021;25/09/2021;26/09/2021;Editee;Aucun;S2;Sénior 2;Arc à Poulies,Arc Classique,Arc Droit,Arc Libre;;;;;;24/08/2020;Non contre ind. compétition;;;105;;2 RUE DES BRUYÈRES;;35330;LES BRULAIS;FRANCE;35330;elly_rust4605@nimogy.biz;;07 48 69 24 31;07 31 45 72 84;07 23 14 78 90;06 63 11 21 98;;-2.04251408577;47.8890609741;Oui;XXL
25/09/2021 11:14;Actif;1;414455F;M.;SANTOS;MARVIN;05/17/1951;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;25/09/2021;31/08/2022;25/09/2021;25/09/2021;26/09/2021;Editee;Aucun;S2;Sénior 2;Arc Classique;;;;;;01/10/2020;Non contre ind. compétition;;;;;37 RUE PRINCIPALE;;35330;MERNEL;FRANCE;35330;marvin_santos5276@infotech44.tech;;07 93 94 21 79;07 36 83 36 46;;;;-1.968837;47.8977355;Oui;L
25/09/2021 11:26;Actif;1;343559J;M.;PARR;CHESTER;05/17/1951;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;RENOUVELLEMENT;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;25/09/2021;31/08/2022;25/09/2021;25/09/2021;26/09/2021;Editee;Aucun;S1;Sénior 1;Arc à Poulies;;;;;;23/09/2020;Non contre ind. compétition;;;;;15 RUE DU RELAIS;;35133;LA CHAPELLE-JANSON;FRANCE;35133;chester_parr257@corti.com;chester_parr257@corti.com;07 76 50 49 11;07 84 16 26 20;07 19 45 81 50;;;-1.09991002083;48.3476982117;Non;L
25/09/2021 02:00;Actif;1;372657C;Mme;DREW;KASSANDRA;03/14/1990;FR;Femme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;29,75;Non;Non;Assurance;ASSUR;;;P;Poussin;;CREATION;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;25/09/2021;31/08/2022;25/09/2021;25/09/2021;26/09/2021;Editee;Aucun;P;Poussin;Arc Classique;;;;;;25/09/2021;Non contre ind. compétition;;;;;5 RUE DE LA LIBERTÉ;;35190;QUÉBRIAC;FRANCE;35190;kassandra_drew482@nimogy.biz;;07 25 56 99 72;07 94 32 50 88;;;;-1.8271904;48.3454047;Oui;
25/09/2021 02:18;Actif;1;523871H;M.;QUINTON;OLIVER;03/14/1990;FR;Homme;335073;LES ARCHERS DE LIFFRE;LIFFRE;35000;COMITE DEPARTEMENTAL ILLE ET VILAINE;CR03;COMITE REGIONAL DE BRETAGNE;FFTA;2022;;68,75;Non;Non;Assurance;ASSUR;;;A;ADULTE Pratique en compétition;;CREATION;LIC;Licences;0000002477.21.22.007;01/09/2021;01/10/2021;Paye;25/09/2021;31/08/2022;25/09/2021;25/09/2021;26/09/2021;Editee;Aucun;S1;Sénior 1;Arc Classique;;;;;;23/09/2021;Non contre ind. compétition;;;;;47 BOULEVARD FÉART;;35801;DINARD CEDEX;FRANCE;35801;oliver_quinton3649@nimogy.biz;;06 86 94 42 13;06 25 40 88 10;;;;-2.0549822;48.63149;Oui;
